genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_name
12,12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,Adventure
14,12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,Fantasy
10751,12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,Family
14,10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,Fantasy
12,10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,Adventure
16,10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,Animation
10751,10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,Family
12,10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,Adventure
28,10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,Action
878,10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,Science Fiction
16,862,en,Toy Story,28.005,1995-11-22,Toy Story,7.9,10174,Animation
35,862,en,Toy Story,28.005,1995-11-22,Toy Story,7.9,10174,Comedy
10751,862,en,Toy Story,28.005,1995-11-22,Toy Story,7.9,10174,Family
28,27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,Action
878,27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,Science Fiction
12,27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,Adventure
12,32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,Adventure
14,32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,Fantasy
10751,32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,Family
28,19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,Action
12,19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,Adventure
14,19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,Fantasy
878,19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,Science Fiction
16,10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,Animation
10751,10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,Family
35,10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,Comedy
16,20352,en,Despicable Me,23.673,2010-07-09,Despicable Me,7.2,10057,Animation
10751,20352,en,Despicable Me,23.673,2010-07-09,Despicable Me,7.2,10057,Family
35,20352,en,Despicable Me,23.673,2010-07-09,Despicable Me,7.2,10057,Comedy
16,38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,Animation
28,38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,Action
35,38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,Comedy
10751,38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,Family
878,38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,Science Fiction
16,863,en,Toy Story 2,22.698,1999-11-24,Toy Story 2,7.5,7553,Animation
35,863,en,Toy Story 2,22.698,1999-11-24,Toy Story 2,7.5,7553,Comedy
10751,863,en,Toy Story 2,22.698,1999-11-24,Toy Story 2,7.5,7553,Family
10751,12155,en,Alice in Wonderland,22.02,2010-03-05,Alice in Wonderland,6.6,8713,Family
14,12155,en,Alice in Wonderland,22.02,2010-03-05,Alice in Wonderland,6.6,8713,Fantasy
12,12155,en,Alice in Wonderland,22.02,2010-03-05,Alice in Wonderland,6.6,8713,Adventure
53,27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,Thriller
12,27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,Adventure
28,27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,Action
16,38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,Animation
10751,38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,Family
27,41439,en,Saw 3D,20.37,2010-10-28,Saw: The Final Chapter,6.0,1488,Horror
80,41439,en,Saw 3D,20.37,2010-10-28,Saw: The Final Chapter,6.0,1488,Crime
12,24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,Adventure
14,24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,Fantasy
18,24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,Drama
10749,24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,Romance
28,20504,en,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,Action
53,20504,en,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,Thriller
878,20504,en,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,Science Fiction
10402,52371,nl,LelleBelle,18.586,2010-10-09,LelleBelle,4.5,36,Music
10749,52371,nl,LelleBelle,18.586,2010-10-09,LelleBelle,4.5,36,Romance
28,2502,en,The Bourne Supremacy,18.199,2004-07-23,The Bourne Supremacy,7.3,4367,Action
18,2502,en,The Bourne Supremacy,18.199,2004-07-23,The Bourne Supremacy,7.3,4367,Drama
53,2502,en,The Bourne Supremacy,18.199,2004-07-23,The Bourne Supremacy,7.3,4367,Thriller
18,11324,en,Shutter Island,18.06,2010-02-18,Shutter Island,8.1,12625,Drama
53,11324,en,Shutter Island,18.06,2010-02-18,Shutter Island,8.1,12625,Thriller
9648,11324,en,Shutter Island,18.06,2010-02-18,Shutter Island,8.1,12625,Mystery
28,2501,en,The Bourne Identity,17.935,2002-06-14,The Bourne Identity,7.4,5406,Action
18,2501,en,The Bourne Identity,17.935,2002-06-14,The Bourne Identity,7.4,5406,Drama
9648,2501,en,The Bourne Identity,17.935,2002-06-14,The Bourne Identity,7.4,5406,Mystery
53,2501,en,The Bourne Identity,17.935,2002-06-14,The Bourne Identity,7.4,5406,Thriller
28,37834,en,Knight and Day,17.713,2010-06-23,Knight and Day,6.0,2494,Action
35,37834,en,Knight and Day,17.713,2010-06-23,Knight and Day,6.0,2494,Comedy
12,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Adventure
10751,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Family
14,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Fantasy
18,41233,en,Step Up 3D,17.174,2010-08-06,Step Up 3D,6.7,1160,Drama
10749,41233,en,Step Up 3D,17.174,2010-08-06,Step Up 3D,6.7,1160,Romance
53,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Thriller
28,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Action
12,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Adventure
35,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Comedy
80,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Crime
18,45269,en,The King's Speech,16.798,2010-09-06,The King's Speech,7.7,5013,Drama
36,45269,en,The King's Speech,16.798,2010-09-06,The King's Speech,7.7,5013,History
28,9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,Action
35,9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,Comedy
80,9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,Crime
53,9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,Thriller
28,10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Action
